,Author,Book,Genre,Year,Searching_Value,Searching_Value2
1011,William J. Bennett,The Book of Virtues,nonfiction,1994,The Book of Virtues William J. Bennett,The+Book+of+Virtues+William+J.+Bennett
1012,Bob Woodward,The Agenda,nonfiction,1994,The Agenda Bob Woodward,The+Agenda+Bob+Woodward
1013,Paul Reiser,Couplehood,nonfiction,1994,Couplehood Paul Reiser,Couplehood+Paul+Reiser
1014,Barbara Bush,Barbara Bush: A Memoir,nonfiction,1994,Barbara Bush: A Memoir Barbara Bush,Barbara+Bush:+A+Memoir+Barbara+Bush
1015,Tim Allen,Don't Stand Too Close to a Naked Man,nonfiction,1994,Don't Stand Too Close to a Naked Man Tim Allen,Don't+Stand+Too+Close+to+a+Naked+Man+Tim+Allen
1016,Faye Resnick with Mike Walker,Nicole Brown Simpson,nonfiction,1994,Nicole Brown Simpson Faye Resnick with Mike Walker,Nicole+Brown+Simpson+Faye+Resnick+with+Mike+Walker
1017,John Paul II,Crossing the Threshold of Hope,nonfiction,1994,Crossing the Threshold of Hope John Paul II,Crossing+the+Threshold+of+Hope+John+Paul+II
1018,Richard Preston,The Hot Zone,nonfiction,1995,The Hot Zone Richard Preston,The+Hot+Zone+Richard+Preston
1019,O.J. Simpson,I Want to Tell You,nonfiction,1995,I Want to Tell You O.J. Simpson,I+Want+to+Tell+You+O.J.+Simpson
1020,Greg Louganis with Eric Marcus,Breaking the Surface,nonfiction,1995,Breaking the Surface Greg Louganis with Eric Marcus,Breaking+the+Surface+Greg+Louganis+with+Eric+Marcus
1021,Robert S. McNamara with Brian VanDeMark,In Retrospect,nonfiction,1995,In Retrospect Robert S. McNamara with Brian VanDeMark,In+Retrospect+Robert+S.+McNamara+with+Brian+VanDeMark
1022,John Feinstein,A Good Walk Spoiled,nonfiction,1995,A Good Walk Spoiled John Feinstein,A+Good+Walk+Spoiled+John+Feinstein
1023,Gail Sheehy,New Passages,nonfiction,1995,New Passages Gail Sheehy,New+Passages+Gail+Sheehy
1024,Newt Gingrich,To Renew America,nonfiction,1995,To Renew America Newt Gingrich,To+Renew+America+Newt+Gingrich
1025,Ellen DeGeneres,My Point... and I Do Have One,nonfiction,1995,My Point... and I Do Have One Ellen DeGeneres,My+Point...+and+I+Do+Have+One+Ellen+DeGeneres
1026,Colin L. Powell with Joseph E. Persico,My American Journey,nonfiction,1995,My American Journey Colin L. Powell with Joseph E. Persico,My+American+Journey+Colin+L.+Powell+with+Joseph+E.+Persico
1027,Howard Stern,Miss America,nonfiction,1995,Miss America Howard Stern,Miss+America+Howard+Stern
1028,Bill Gates with Nathan Myhrvold and Peter Rinearson,The Road Ahead,nonfiction,1995,The Road Ahead Bill Gates with Nathan Myhrvold and Peter Rinearson,The+Road+Ahead+Bill+Gates+with+Nathan+Myhrvold+and+Peter+Rinearson
1029,Hillary Rodham Clinton,It Takes a Village,nonfiction,1996,It Takes a Village Hillary Rodham Clinton,It+Takes+a+Village+Hillary+Rodham+Clinton
1030,Al Franken,Rush Limbaugh Is a Big Fat Idiot,nonfiction,1996,Rush Limbaugh Is a Big Fat Idiot Al Franken,Rush+Limbaugh+Is+a+Big+Fat+Idiot+Al+Franken
1031,James B. Stewart,Blood Sport,nonfiction,1996,Blood Sport James B. Stewart,Blood+Sport+James+B.+Stewart
1032,Christopher A. Darden with Jess Walter,In Contempt,nonfiction,1996,In Contempt Christopher A. Darden with Jess Walter,In+Contempt+Christopher+A.+Darden+with+Jess+Walter
1033,Dennis Rodman with Tim Keown,Bad as I Wanna Be,nonfiction,1996,Bad as I Wanna Be Dennis Rodman with Tim Keown,Bad+as+I+Wanna+Be+Dennis+Rodman+with+Tim+Keown
1034,Vincent Bugliosi,Outrage,nonfiction,1996,Outrage Vincent Bugliosi,Outrage+Vincent+Bugliosi
1035,Scott Adams,The Dilbert Principle,nonfiction,1996,The Dilbert Principle Scott Adams,The+Dilbert+Principle+Scott+Adams
1036,Gary Aldrich,Unlimited Access,nonfiction,1996,Unlimited Access Gary Aldrich,Unlimited+Access+Gary+Aldrich
1037,Lawrence Schiller and James Willwerth,American Tragedy,nonfiction,1996,American Tragedy Lawrence Schiller and James Willwerth,American+Tragedy+Lawrence+Schiller+and+James+Willwerth
1038,James Hillman,The Soul's Code,nonfiction,1996,The Soul's Code James Hillman,The+Soul's+Code+James+Hillman
1039,Ekaterina Gordeeva with E. M. Swift,My Sergei,nonfiction,1996,My Sergei Ekaterina Gordeeva with E. M. Swift,My+Sergei+Ekaterina+Gordeeva+with+E.+M.+Swift
1040,Frank McCourt,Angela's Ashes,nonfiction,1996,Angela's Ashes Frank McCourt,Angela's+Ashes+Frank+McCourt
1041,Walter Cronkite,A Reporter's Life,nonfiction,1996,A Reporter's Life Walter Cronkite,A+Reporter's+Life+Walter+Cronkite
1042,Katharine Graham,Personal History,nonfiction,1997,Personal History Katharine Graham,Personal+History+Katharine+Graham
1043,Mark Fuhrman,Murder in Brentwood,nonfiction,1997,Murder in Brentwood Mark Fuhrman,Murder+in+Brentwood+Mark+Fuhrman
1044,Peter Maas,Underboss,nonfiction,1997,Underboss Peter Maas,Underboss+Peter+Maas
1045,Carol Saline and Sharon J. Wohlmuth,Mothers & Daughters,nonfiction,1997,Mothers & Daughters Carol Saline and Sharon J. Wohlmuth,Mothers+&+Daughters+Carol+Saline+and+Sharon+J.+Wohlmuth
1046,Marcia Clark with Teresa Carpenter,Without a Doubt,nonfiction,1997,Without a Doubt Marcia Clark with Teresa Carpenter,Without+a+Doubt+Marcia+Clark+with+Teresa+Carpenter
1047,Jon Krakauer,Into Thin Air,nonfiction,1997,Into Thin Air Jon Krakauer,Into+Thin+Air+Jon+Krakauer
1048,Billy Graham,Just as I Am,nonfiction,1997,Just as I Am Billy Graham,Just+as+I+Am+Billy+Graham
1049,Kitty Kelley,The Royals,nonfiction,1997,The Royals Kitty Kelley,The+Royals+Kitty+Kelley
1050,Andrew Morton,Diana: Her True Story - In Her Own Words,nonfiction,1997,Diana: Her True Story - In Her Own Words Andrew Morton,Diana:+Her+True+Story+-+In+Her+Own+Words+Andrew+Morton
1051,John Berendt,Midnight in the Garden of Good and Evil,nonfiction,1997,Midnight in the Garden of Good and Evil John Berendt,Midnight+in+the+Garden+of+Good+and+Evil+John+Berendt
1052,James Van Praagh,Talking to Heaven,nonfiction,1998,Talking to Heaven James Van Praagh,Talking+to+Heaven+James+Van+Praagh
1053,Mitch Albom,Tuesdays with Morrie,nonfiction,1998,Tuesdays with Morrie Mitch Albom,Tuesdays+with+Morrie+Mitch+Albom
1054,Thomas J. Stanley and William D. Danko,The Millionaire Next Door,nonfiction,1998,The Millionaire Next Door Thomas J. Stanley and William D. Danko,The+Millionaire+Next+Door+Thomas+J.+Stanley+and+William+D.+Danko
1055,Cokie Roberts,We Are Our Mothers' Daughters,nonfiction,1998,We Are Our Mothers' Daughters Cokie Roberts,We+Are+Our+Mothers'+Daughters+Cokie+Roberts
1056,Jimmy Buffett,A Pirate Looks at Fifty,nonfiction,1998,A Pirate Looks at Fifty Jimmy Buffett,A+Pirate+Looks+at+Fifty+Jimmy+Buffett
1057,Christopher Andersen,The Day Diana Died,nonfiction,1998,The Day Diana Died Christopher Andersen,The+Day+Diana+Died+Christopher+Andersen
1058,William J. Bennett,The Death of Outrage,nonfiction,1998,The Death of Outrage William J. Bennett,The+Death+of+Outrage+William+J.+Bennett
1059,Peter Jennings and Todd Brewster,The Century,nonfiction,1998,The Century Peter Jennings and Todd Brewster,The+Century+Peter+Jennings+and+Todd+Brewster
1060,Tom Brokaw,The Greatest Generation,nonfiction,1998,The Greatest Generation Tom Brokaw,The+Greatest+Generation+Tom+Brokaw
1061,Andrew Morton,Monica's Story,nonfiction,1999,Monica's Story Andrew Morton,Monica's+Story+Andrew+Morton
1062,George Stephanopoulos,All Too Human,nonfiction,1999,All Too Human George Stephanopoulos,All+Too+Human+George+Stephanopoulos
1063,Tom Clancy with Chuck Horner,Every Man a Tiger,nonfiction,1999,Every Man a Tiger Tom Clancy with Chuck Horner,Every+Man+a+Tiger+Tom+Clancy+with+Chuck+Horner
1064,Bob Woodward,Shadow,nonfiction,1999,Shadow Bob Woodward,Shadow+Bob+Woodward
1065,Frank McCourt,'Tis,nonfiction,1999,'Tis Frank McCourt,'Tis+Frank+McCourt
1066,Mick Foley,Have a Nice Day!,nonfiction,1999,Have a Nice Day! Mick Foley,Have+a+Nice+Day!+Mick+Foley
1067,The Rock with Joe Layden,The Rock Says,nonfiction,2000,The Rock Says The Rock with Joe Layden,The+Rock+Says+The+Rock+with+Joe+Layden
1068,James Bradley with Ron Powers,Flags of Our Fathers,nonfiction,2000,Flags of Our Fathers James Bradley with Ron Powers,Flags+of+Our+Fathers+James+Bradley+with+Ron+Powers
1069,Christopher Andersen,The Day John Died,nonfiction,2000,The Day John Died Christopher Andersen,The+Day+John+Died+Christopher+Andersen
1070,Sylvia Browne with Lindsay Harrison,Life on the Other Side,nonfiction,2000,Life on the Other Side Sylvia Browne with Lindsay Harrison,Life+on+the+Other+Side+Sylvia+Browne+with+Lindsay+Harrison
1071,Lance Armstrong with Sally Jenkins,It's Not about the Bike,nonfiction,2000,It's Not about the Bike Lance Armstrong with Sally Jenkins,It's+Not+about+the+Bike+Lance+Armstrong+with+Sally+Jenkins
1072,Stephen Ambrose,Nothing Like It in the World,nonfiction,2000,Nothing Like It in the World Stephen Ambrose,Nothing+Like+It+in+the+World+Stephen+Ambrose
1073,The Beatles,The Beatles Anthology,nonfiction,2000,The Beatles Anthology The Beatles,The+Beatles+Anthology+The+Beatles
1074,Bill O'Reilly,The O'Reilly Factor,nonfiction,2000,The O'Reilly Factor Bill O'Reilly,The+O'Reilly+Factor+Bill+O'Reilly
1075,Jimmy Carter,An Hour Before Daylight,nonfiction,2001,An Hour Before Daylight Jimmy Carter,An+Hour+Before+Daylight+Jimmy+Carter
1076,Jerri Nielsen with Maryanne Vollers,Ice Bound,nonfiction,2001,Ice Bound Jerri Nielsen with Maryanne Vollers,Ice+Bound+Jerri+Nielsen+with+Maryanne+Vollers
1077,Dave Longaberger,Longaberger,nonfiction,2001,Longaberger Dave Longaberger,Longaberger+Dave+Longaberger
1078,Laura Hillenbrand,Seabiscuit,nonfiction,2001,Seabiscuit Laura Hillenbrand,Seabiscuit+Laura+Hillenbrand
1079,George Carlin,Napalm & Silly Putty,nonfiction,2001,Napalm & Silly Putty George Carlin,Napalm+&+Silly+Putty+George+Carlin
1080,Mick Foley,Foley Is Good,nonfiction,2001,Foley Is Good Mick Foley,Foley+Is+Good+Mick+Foley
1081,David McCullough,John Adams,nonfiction,2001,John Adams David McCullough,John+Adams+David+McCullough
1082,Stephen Ambrose,The Wild Blue,nonfiction,2001,The Wild Blue Stephen Ambrose,The+Wild+Blue+Stephen+Ambrose
1083,Jack Welch with John A. Byrne,Jack: Straight from the Gut,nonfiction,2001,Jack: Straight from the Gut Jack Welch with John A. Byrne,Jack:+Straight+from+the+Gut+Jack+Welch+with+John+A.+Byrne
1084,"Judith Miller, Stephen Engelberg and William Broad",Germs,nonfiction,2001,"Germs Judith Miller, Stephen Engelberg and William Broad","Germs+Judith+Miller,+Stephen+Engelberg+and+William+Broad"
1085,Bill O'Reilly,The No Spin Zone,nonfiction,2001,The No Spin Zone Bill O'Reilly,The+No+Spin+Zone+Bill+O'Reilly
1086,Editors of Life Magazine,One Nation,nonfiction,2001,One Nation Editors of Life Magazine,One+Nation+Editors+of+Life+Magazine
1087,Bernard Goldberg,Bias,nonfiction,2002,Bias Bernard Goldberg,Bias+Bernard+Goldberg
1088,Tom Clancy,Shadow Warriors,nonfiction,2002,Shadow Warriors Tom Clancy,Shadow+Warriors+Tom+Clancy
1089,Michael Moore,Stupid White Men,nonfiction,2002,Stupid White Men Michael Moore,Stupid+White+Men+Michael+Moore
1090,Michael J. Fox,Lucky Man,nonfiction,2002,Lucky Man Michael J. Fox,Lucky+Man+Michael+J.+Fox
1091,Robert A. Caro,Master of the Senate,nonfiction,2002,Master of the Senate Robert A. Caro,Master+of+the+Senate+Robert+A.+Caro
1092,Richard Blow,American Son,nonfiction,2002,American Son Richard Blow,American+Son+Richard+Blow
1093,Mel Levine,A Mind at a Time,nonfiction,2002,A Mind at a Time Mel Levine,A+Mind+at+a+Time+Mel+Levine
1094,Marlo Thomas,The Right Words at the Right Time,nonfiction,2002,The Right Words at the Right Time Marlo Thomas,The+Right+Words+at+the+Right+Time+Marlo+Thomas
1095,John McEnroe with James Kaplan,You Cannot Be Serious,nonfiction,2002,You Cannot Be Serious John McEnroe with James Kaplan,You+Cannot+Be+Serious+John+McEnroe+with+James+Kaplan
1096,Ann Coulter,Slander,nonfiction,2002,Slander Ann Coulter,Slander+Ann+Coulter
1097,Lisa Beamer with Ken Abraham,Let's Roll!,nonfiction,2002,Let's Roll! Lisa Beamer with Ken Abraham,Let's+Roll!+Lisa+Beamer+with+Ken+Abraham
1098,Rudy Giuliani with Ken Kurson,Leadership,nonfiction,2002,Leadership Rudy Giuliani with Ken Kurson,Leadership+Rudy+Giuliani+with+Ken+Kurson
1099,Kurt Cobain,Journals,nonfiction,2002,Journals Kurt Cobain,Journals+Kurt+Cobain
1100,Patricia Cornwell,Portrait of a Killer,nonfiction,2002,Portrait of a Killer Patricia Cornwell,Portrait+of+a+Killer+Patricia+Cornwell
1101,Bob Woodward,Bush at War,nonfiction,2002,Bush at War Bob Woodward,Bush+at+War+Bob+Woodward
1102,Michael Savage,The Savage Nation,nonfiction,2003,The Savage Nation Michael Savage,The+Savage+Nation+Michael+Savage
1103,Po Bronson,What Should I Do with My Life?,nonfiction,2003,What Should I Do with My Life? Po Bronson,What+Should+I+Do+with+My+Life?+Po+Bronson
1104,Erik Larson,Devil in the White City,nonfiction,2003,Devil in the White City Erik Larson,Devil+in+the+White+City+Erik+Larson
1105,Robert Dallek,An Unfinished Life,nonfiction,2003,An Unfinished Life Robert Dallek,An+Unfinished+Life+Robert+Dallek
1106,Hillary Rodham Clinton,Living History,nonfiction,2003,Living History Hillary Rodham Clinton,Living+History+Hillary+Rodham+Clinton
1107,A. Scott Berg,Kate Remembered,nonfiction,2003,Kate Remembered A. Scott Berg,Kate+Remembered+A.+Scott+Berg
1108,Al Franken,Lies and the Lying Liars Who Tell Them,nonfiction,2003,Lies and the Lying Liars Who Tell Them Al Franken,Lies+and+the+Lying+Liars+Who+Tell+Them+Al+Franken
1109,Bill O'Reilly,Who's Looking Out For You?,nonfiction,2003,Who's Looking Out For You? Bill O'Reilly,Who's+Looking+Out+For+You?+Bill+O'Reilly
1110,Michael Moore,"Dude, Where's My Country?",nonfiction,2003,"Dude, Where's My Country? Michael Moore","Dude,+Where's+My+Country?+Michael+Moore"
1111,Paul Burrell,A Royal Duty,nonfiction,2003,A Royal Duty Paul Burrell,A+Royal+Duty+Paul+Burrell
1112,Rick Bragg,I Am a Soldier Too,nonfiction,2003,I Am a Soldier Too Rick Bragg,I+Am+a+Soldier+Too+Rick+Bragg
1113,Pete Rose with Rick Hill,My Prison Without Bars,nonfiction,2004,My Prison Without Bars Pete Rose with Rick Hill,My+Prison+Without+Bars+Pete+Rose+with+Rick+Hill
1114,Ron Suskind,The Price of Loyalty,nonfiction,2004,The Price of Loyalty Ron Suskind,The+Price+of+Loyalty+Ron+Suskind
1115,Sean Hannity,Deliver Us from Evil,nonfiction,2004,Deliver Us from Evil Sean Hannity,Deliver+Us+from+Evil+Sean+Hannity
1116,Richard Clarke,Against All Enemies,nonfiction,2004,Against All Enemies Richard Clarke,Against+All+Enemies+Richard+Clarke
1117,Bob Woodward,Plan of Attack,nonfiction,2004,Plan of Attack Bob Woodward,Plan+of+Attack+Bob+Woodward
1118,Lynne Truss,"Eats, Shoots & Leaves",nonfiction,2004,"Eats, Shoots & Leaves Lynne Truss","Eats,+Shoots+&+Leaves+Lynne+Truss"
1119,David Sedaris,Dress Your Family in Corduroy and Denim,nonfiction,2004,Dress Your Family in Corduroy and Denim David Sedaris,Dress+Your+Family+in+Corduroy+and+Denim+David+Sedaris
1120,Tim Russert,Big Russ and Me,nonfiction,2004,Big Russ and Me Tim Russert,Big+Russ+and+Me+Tim+Russert
1121,Bill Clinton,My Life,nonfiction,2004,My Life Bill Clinton,My+Life+Bill+Clinton
1122,Tommy Franks with Malcolm McConnell,American Soldier,nonfiction,2004,American Soldier Tommy Franks with Malcolm McConnell,American+Soldier+Tommy+Franks+with+Malcolm+McConnell
1123,John O'Neill with Jerome Corsi,Unfit for Command,nonfiction,2004,Unfit for Command John O'Neill with Jerome Corsi,Unfit+for+Command+John+O'Neill+with+Jerome+Corsi
1124,Kitty Kelley,The Family,nonfiction,2004,The Family Kitty Kelley,The+Family+Kitty+Kelley
1125,Jon Stewart and The Daily Show writers,America: The Book,nonfiction,2004,America: The Book Jon Stewart and The Daily Show writers,America:+The+Book+Jon+Stewart+and+The+Daily+Show+writers
1126,Amber Frey,Witness,nonfiction,2005,Witness Amber Frey,Witness+Amber+Frey
1127,Malcolm Gladwell,Blink,nonfiction,2005,Blink Malcolm Gladwell,Blink+Malcolm+Gladwell
1128,Jose Conseco,Juiced,nonfiction,2005,Juiced Jose Conseco,Juiced+Jose+Conseco
1129,Anne Bird,Blood Brother,nonfiction,2005,Blood Brother Anne Bird,Blood+Brother+Anne+Bird
1130,Catherine Crier with Cole Thompson,A Deadly Game,nonfiction,2005,A Deadly Game Catherine Crier with Cole Thompson,A+Deadly+Game+Catherine+Crier+with+Cole+Thompson
1131,Jane Fonda,My Life So Far,nonfiction,2005,My Life So Far Jane Fonda,My+Life+So+Far+Jane+Fonda
1132,Thomas Friedman,The World Is Flat,nonfiction,2005,The World Is Flat Thomas Friedman,The+World+Is+Flat+Thomas+Friedman
1133,Harry Frankfurt,On Bullshit,nonfiction,2005,On Bullshit Harry Frankfurt,On+Bullshit+Harry+Frankfurt
1134,David McCullough,1776,nonfiction,2005,1776 David McCullough,1776+David+McCullough
1135,Neal Boortz and John Linder,The FairTax Book,nonfiction,2005,The FairTax Book Neal Boortz and John Linder,The+FairTax+Book+Neal+Boortz+and+John+Linder
1136,John Berendt,The City of Falling Angels,nonfiction,2005,The City of Falling Angels John Berendt,The+City+of+Falling+Angels+John+Berendt
1137,Al Franken,The Truth (with jokes),nonfiction,2005,The Truth (with jokes) Al Franken,The+Truth+(with+jokes)+Al+Franken
1138,Jimmy Carter,Our Endangered Values,nonfiction,2005,Our Endangered Values Jimmy Carter,Our+Endangered+Values+Jimmy+Carter
1139,Frank McCourt,Teacher Man,nonfiction,2005,Teacher Man Frank McCourt,Teacher+Man+Frank+McCourt
1140,Doris Kearns Goodwin,Team of Rivals,nonfiction,2006,Team of Rivals Doris Kearns Goodwin,Team+of+Rivals+Doris+Kearns+Goodwin
1141,James Frey,My Friend Leonard,nonfiction,2006,My Friend Leonard James Frey,My+Friend+Leonard+James+Frey
1142,Sharon Rocha,For Laci,nonfiction,2006,For Laci Sharon Rocha,For+Laci+Sharon+Rocha
1143,John Grogan,Marley & Me,nonfiction,2006,Marley & Me John Grogan,Marley+&+Me+John+Grogan
1144,Tyler Perry,Don't Make a Black Woman Take off Her Earrings,nonfiction,2006,Don't Make a Black Woman Take off Her Earrings Tyler Perry,Don't+Make+a+Black+Woman+Take+off+Her+Earrings+Tyler+Perry
1145,Anderson Cooper,Dispatches from the Edge,nonfiction,2006,Dispatches from the Edge Anderson Cooper,Dispatches+from+the+Edge+Anderson+Cooper
1146,Ann Coulter,Godless: The Church of Liberalism,nonfiction,2006,Godless: The Church of Liberalism Ann Coulter,Godless:+The+Church+of+Liberalism+Ann+Coulter
1147,Tim Russert,Wisdom of Our Fathers,nonfiction,2006,Wisdom of Our Fathers Tim Russert,Wisdom+of+Our+Fathers+Tim+Russert
1148,Thomas E. Ricks,Fiasco,nonfiction,2006,Fiasco Thomas E. Ricks,Fiasco+Thomas+E.+Ricks
1149,Nora Ephron,I Feel Bad About My Neck,nonfiction,2006,I Feel Bad About My Neck Nora Ephron,I+Feel+Bad+About+My+Neck+Nora+Ephron
1150,Bill O'Reilly,Culture Warrior,nonfiction,2006,Culture Warrior Bill O'Reilly,Culture+Warrior+Bill+O'Reilly
1151,Bob Woodward,State of Denial,nonfiction,2006,State of Denial Bob Woodward,State+of+Denial+Bob+Woodward
1152,John Grisham,The Innocent Man,nonfiction,2006,The Innocent Man John Grisham,The+Innocent+Man+John+Grisham
1153,Barack Obama,The Audacity of Hope,nonfiction,2006,The Audacity of Hope Barack Obama,The+Audacity+of+Hope+Barack+Obama
1154,Lee and Bob Woodruff,In an Instant,nonfiction,2007,In an Instant Lee and Bob Woodruff,In+an+Instant+Lee+and+Bob+Woodruff
1155,Ishmael Beah,A Long Way Gone,nonfiction,2007,A Long Way Gone Ishmael Beah,A+Long+Way+Gone+Ishmael+Beah
1156,Walter Isaacson,Einstein,nonfiction,2007,Einstein Walter Isaacson,Einstein+Walter+Isaacson
1157,George Tenet,At the Center of the Storm,nonfiction,2007,At the Center of the Storm George Tenet,At+the+Center+of+the+Storm+George+Tenet
1158,Christopher Hitchens,God Is Not Great,nonfiction,2007,God Is Not Great Christopher Hitchens,God+Is+Not+Great+Christopher+Hitchens
1159,Al Gore,The Assault on Reason,nonfiction,2007,The Assault on Reason Al Gore,The+Assault+on+Reason+Al+Gore
1160,Ronald Reagan,The Reagan Diaries,nonfiction,2007,The Reagan Diaries Ronald Reagan,The+Reagan+Diaries+Ronald+Reagan
1161,Tina Brown,The Diana Chronicles,nonfiction,2007,The Diana Chronicles Tina Brown,The+Diana+Chronicles+Tina+Brown
1162,Marcus Luttrell with Patrick Robinson,Lone Survivor,nonfiction,2007,Lone Survivor Marcus Luttrell with Patrick Robinson,Lone+Survivor+Marcus+Luttrell+with+Patrick+Robinson
1163,Tony Dungy with Nathan Whitaker,Quiet Strength,nonfiction,2007,Quiet Strength Tony Dungy with Nathan Whitaker,Quiet+Strength+Tony+Dungy+with+Nathan+Whitaker
1164,Denise Jackson with Ellen Vaughn,It's All About Him,nonfiction,2007,It's All About Him Denise Jackson with Ellen Vaughn,It's+All+About+Him+Denise+Jackson+with+Ellen+Vaughn
1165,Duane Chapman with Laura Morton,You Can Run But You Can't Hide,nonfiction,2007,You Can Run But You Can't Hide Duane Chapman with Laura Morton,You+Can+Run+But+You+Can't+Hide+Duane+Chapman+with+Laura+Morton
1166,Pattie Boyd with Penny Junor,Wonderful Tonight,nonfiction,2007,Wonderful Tonight Pattie Boyd with Penny Junor,Wonderful+Tonight+Pattie+Boyd+with+Penny+Junor
1167,Bill Clinton,Giving: How Each of Us Can Change the World,nonfiction,2007,Giving: How Each of Us Can Change the World Bill Clinton,Giving:+How+Each+of+Us+Can+Change+the+World+Bill+Clinton
1168,Laura Ingraham,Power to the People,nonfiction,2007,Power to the People Laura Ingraham,Power+to+the+People+Laura+Ingraham
1169,Alan Greenspan,The Age of Turbulence,nonfiction,2007,The Age of Turbulence Alan Greenspan,The+Age+of+Turbulence+Alan+Greenspan
1170,Clarence Thomas,My Grandfather's Son,nonfiction,2007,My Grandfather's Son Clarence Thomas,My+Grandfather's+Son+Clarence+Thomas
1171,Stephen Colbert,I Am America (And So Can You!),nonfiction,2007,I Am America (And So Can You!) Stephen Colbert,I+Am+America+(And+So+Can+You!)+Stephen+Colbert
1172,Glenn Beck and Kevin Balfe,An Inconvenient Book,nonfiction,2007,An Inconvenient Book Glenn Beck and Kevin Balfe,An+Inconvenient+Book+Glenn+Beck+and+Kevin+Balfe
1173,Michael Pollan,In Defense of Food,nonfiction,2008,In Defense of Food Michael Pollan,In+Defense+of+Food+Michael+Pollan
1174,Andrew Morton,Tom Cruise: An Unauthorized Biography,nonfiction,2008,Tom Cruise: An Unauthorized Biography Andrew Morton,Tom+Cruise:+An+Unauthorized+Biography+Andrew+Morton
1175,Jonah Goldberg,Liberal Fascism,nonfiction,2008,Liberal Fascism Jonah Goldberg,Liberal+Fascism+Jonah+Goldberg
1176,Valerie Bertinelli,Losing It,nonfiction,2008,Losing It Valerie Bertinelli,Losing+It+Valerie+Bertinelli
1177,David Sheff,Beautiful Boy,nonfiction,2008,Beautiful Boy David Sheff,Beautiful+Boy+David+Sheff
1178,"Don and Susie Van Ryn and Newell, Colleen and Whitney Cerak, with Mark Tabb",Mistaken Identity,nonfiction,2008,"Mistaken Identity Don and Susie Van Ryn and Newell, Colleen and Whitney Cerak, with Mark Tabb","Mistaken+Identity+Don+and+Susie+Van+Ryn+and+Newell,+Colleen+and+Whitney+Cerak,+with+Mark+Tabb"
1179,Julie Andrews,Home,nonfiction,2008,Home Julie Andrews,Home+Julie+Andrews
1180,Chelsea Handler,"Are You There, Vodka? It's Me, Chelsea",nonfiction,2008,"Are You There, Vodka? It's Me, Chelsea Chelsea Handler","Are+You+There,+Vodka?+It's+Me,+Chelsea+Chelsea+Handler"
1181,Ron Paul,The Revolution: A Manifesto,nonfiction,2008,The Revolution: A Manifesto Ron Paul,The+Revolution:+A+Manifesto+Ron+Paul
1182,Barbara Walters,Audition: A Memoir,nonfiction,2008,Audition: A Memoir Barbara Walters,Audition:+A+Memoir+Barbara+Walters
1183,Scott McClellan,What Happened,nonfiction,2008,What Happened Scott McClellan,What+Happened+Scott+McClellan
1184,David Sedaris,When You Are Engulfed in Flames,nonfiction,2008,When You Are Engulfed in Flames David Sedaris,When+You+Are+Engulfed+in+Flames+David+Sedaris
1185,Jerome R. Corsi,The Obama Nation: Leftist Politics and the Cult of Personality,nonfiction,2008,The Obama Nation: Leftist Politics and the Cult of Personality Jerome R. Corsi,The+Obama+Nation:+Leftist+Politics+and+the+Cult+of+Personality+Jerome+R.+Corsi
1186,Tori Spelling with Hilary Liftin,sTORI Telling,nonfiction,2008,sTORI Telling Tori Spelling with Hilary Liftin,sTORI+Telling+Tori+Spelling+with+Hilary+Liftin
1187,Thomas L. Friedman,"Hot, Flat, and Crowded",nonfiction,2008,"Hot, Flat, and Crowded Thomas L. Friedman","Hot,+Flat,+and+Crowded+Thomas+L.+Friedman"
1188,"James Patterson, Hal Friedman",Against Medical Advice: A True Story,nonfiction,2008,"Against Medical Advice: A True Story James Patterson, Hal Friedman","Against+Medical+Advice:+A+True+Story+James+Patterson,+Hal+Friedman"
1189,Artie Lange with Anthony Bozza,Too Fat to Fish,nonfiction,2008,Too Fat to Fish Artie Lange with Anthony Bozza,Too+Fat+to+Fish+Artie+Lange+with+Anthony+Bozza
1190,Charles Krauthammer,Things That Matter,nonfiction,2008,Things That Matter Charles Krauthammer,Things+That+Matter+Charles+Krauthammer
1191,Malcolm Gladwell,Outliers,nonfiction,2008,Outliers Malcolm Gladwell,Outliers+Malcolm+Gladwell
1192,Joe Torre and Tom Verducci,The Yankee Years,nonfiction,2009,The Yankee Years Joe Torre and Tom Verducci,The+Yankee+Years+Joe+Torre+and+Tom+Verducci
1193,Mark R. Levin,Liberty and Tyranny,nonfiction,2009,Liberty and Tyranny Mark R. Levin,Liberty+and+Tyranny+Mark+R.+Levin
1194,Elizabeth Edwards,Resilience,nonfiction,2009,Resilience Elizabeth Edwards,Resilience+Elizabeth+Edwards
1195,Dick Morris and Eileen McGann,Catastrophe,nonfiction,2009,Catastrophe Dick Morris and Eileen McGann,Catastrophe+Dick+Morris+and+Eileen+McGann
1196,Ian Halperin,Unmasked,nonfiction,2009,Unmasked Ian Halperin,Unmasked+Ian+Halperin
1197,Michelle Malkin,Culture of Corruption,nonfiction,2009,Culture of Corruption Michelle Malkin,Culture+of+Corruption+Michelle+Malkin
1198,Kathy Griffin,Official Book Club Selection,nonfiction,2009,Official Book Club Selection Kathy Griffin,Official+Book+Club+Selection+Kathy+Griffin
1199,Edward M. Kennedy,True Compass,nonfiction,2009,True Compass Edward M. Kennedy,True+Compass+Edward+M.+Kennedy
